Name,"Wikidata QID","subclass of","instance of","musical parameter","used by"
arpeggio,Q506986,ornament,"musical notation",duration,performer
arpeggio,Q506986,ornament,"musical notation",pitch,performer
"breath mark",Q754458,"musical phrasing","musical notation",duration,performer
"breath mark",Q754458,"musical phrasing",glyph,duration,performer
"breath mark",Q754458,articulation,"musical notation",duration,performer
"breath mark",Q754458,articulation,glyph,duration,performer
fermata,Q830328,,"musical notation",,conductor
fermata,Q830328,,"musical notation",,composer
fermata,Q830328,,glyph,,conductor
fermata,Q830328,,glyph,,composer
echo,Q182767,,"musical technique",timbre,performer
echo,Q182767,,"musical technique",loudness,performer
echo,Q182767,,"aspect of sound",timbre,performer
echo,Q182767,,"aspect of sound",loudness,performer
affect,Q159904,"musical expression","musical concept",loudness,composer
affect,Q159904,"musical expression","musical concept",loudness,conductor
affect,Q159904,"musical expression","musical concept",loudness,performer
affect,Q159904,"musical expression","musical concept",timbre,composer
affect,Q159904,"musical expression","musical concept",timbre,conductor
affect,Q159904,"musical expression","musical concept",timbre,performer
espressivo,Q109371111,"musical expression","musical notation",loudness,composer
espressivo,Q109371111,"musical expression","musical notation",loudness,conductor
espressivo,Q109371111,"musical expression","musical notation",loudness,editor
espressivo,Q109371111,"musical expression","musical notation",timbre,composer
espressivo,Q109371111,"musical expression","musical notation",timbre,conductor
espressivo,Q109371111,"musical expression","musical notation",timbre,editor
espressivo,Q109371111,"musical expression","musical concept",loudness,composer
espressivo,Q109371111,"musical expression","musical concept",loudness,conductor
espressivo,Q109371111,"musical expression","musical concept",loudness,editor
espressivo,Q109371111,"musical expression","musical concept",timbre,composer
espressivo,Q109371111,"musical expression","musical concept",timbre,conductor
espressivo,Q109371111,"musical expression","musical concept",timbre,editor
leggiero,Q1812562,"musical expression","musical concept",timbre,composer
leggiero,Q1812562,"musical expression","musical concept",timbre,conductor
leggiero,Q1812562,"musical expression","musical concept",timbre,editor
leggiero,Q1812562,"musical expression","musical concept",loudness,composer
leggiero,Q1812562,"musical expression","musical concept",loudness,conductor
leggiero,Q1812562,"musical expression","musical concept",loudness,editor
leggiero,Q1812562,"musical expression","musical notation",timbre,composer
leggiero,Q1812562,"musical expression","musical notation",timbre,conductor
leggiero,Q1812562,"musical expression","musical notation",timbre,editor
leggiero,Q1812562,"musical expression","musical notation",loudness,composer
leggiero,Q1812562,"musical expression","musical notation",loudness,conductor
leggiero,Q1812562,"musical expression","musical notation",loudness,editor
trill,Q75859,ornament,"musical notation",pitch,performer
trill,Q75859,ornament,"musical notation",duration,performer
trill,Q75859,ornament,"musical technique",pitch,performer
trill,Q75859,ornament,"musical technique",duration,performer
mordent,Q48811,ornament,"musical notation",duration,composer
mordent,Q48811,ornament,"musical notation",duration,performer
mordent,Q48811,ornament,"musical notation",pitch,composer
mordent,Q48811,ornament,"musical notation",pitch,performer
mordent,Q48811,ornament,"musical technique",duration,composer
mordent,Q48811,ornament,"musical technique",duration,performer
mordent,Q48811,ornament,"musical technique",pitch,composer
mordent,Q48811,ornament,"musical technique",pitch,performer
mordent,Q48811,articulation,"musical notation",duration,composer
mordent,Q48811,articulation,"musical notation",duration,performer
mordent,Q48811,articulation,"musical notation",pitch,composer
mordent,Q48811,articulation,"musical notation",pitch,performer
mordent,Q48811,articulation,"musical technique",duration,composer
mordent,Q48811,articulation,"musical technique",duration,performer
mordent,Q48811,articulation,"musical technique",pitch,composer
mordent,Q48811,articulation,"musical technique",pitch,performer
turn,Q61542,ornament,"musical notation",pitch,performer
turn,Q61542,ornament,"musical notation",duration,performer
turn,Q61542,ornament,"musical technique",pitch,performer
turn,Q61542,ornament,"musical technique",duration,performer
appoggiatura,Q1757335,ornament,"musical notation",duration,performer
appoggiatura,Q1757335,ornament,"musical notation",duration,composer
appoggiatura,Q1757335,ornament,"musical notation",pitch,performer
appoggiatura,Q1757335,ornament,"musical notation",pitch,composer
appoggiatura,Q1757335,ornament,"musical technique",duration,performer
appoggiatura,Q1757335,ornament,"musical technique",duration,composer
appoggiatura,Q1757335,ornament,"musical technique",pitch,performer
appoggiatura,Q1757335,ornament,"musical technique",pitch,composer
"double appoggiatura",Q123058117,ornament,"musical notation",pitch,performer
"double appoggiatura",Q123058117,ornament,"musical notation",pitch,composer
"double appoggiatura",Q123058117,ornament,"musical notation",duration,performer
"double appoggiatura",Q123058117,ornament,"musical notation",duration,composer
"double appoggiatura",Q123058117,ornament,"musical technique",pitch,performer
"double appoggiatura",Q123058117,ornament,"musical technique",pitch,composer
"double appoggiatura",Q123058117,ornament,"musical technique",duration,performer
"double appoggiatura",Q123058117,ornament,"musical technique",duration,composer
"double appoggiatura",Q123058117,appoggiatura,"musical notation",pitch,performer
"double appoggiatura",Q123058117,appoggiatura,"musical notation",pitch,composer
"double appoggiatura",Q123058117,appoggiatura,"musical notation",duration,performer
"double appoggiatura",Q123058117,appoggiatura,"musical notation",duration,composer
"double appoggiatura",Q123058117,appoggiatura,"musical technique",pitch,performer
"double appoggiatura",Q123058117,appoggiatura,"musical technique",pitch,composer
"double appoggiatura",Q123058117,appoggiatura,"musical technique",duration,performer
"double appoggiatura",Q123058117,appoggiatura,"musical technique",duration,composer
glissando,Q471744,ornament,"musical notation",pitch,performer
glissando,Q471744,ornament,"musical notation",timbre,performer
glissando,Q471744,ornament,"musical technique",pitch,performer
glissando,Q471744,ornament,"musical technique",timbre,performer
"alternative melody",,variation,"musical concept",pitch,conductor
"alternative melody",,variation,"musical concept",pitch,performer
"alternative melody",,variation,"musical concept",duration,conductor
"alternative melody",,variation,"musical concept",duration,performer
passaggio,,ornament,"musical improvisation",duration,performer
passaggio,,ornament,"musical improvisation",pitch,performer
passaggio,,ornament,"musical technique",duration,performer
passaggio,,ornament,"musical technique",pitch,performer
"alternative lyrics",,variation,,timbre,editor
"alternative lyrics",,variation,,timbre,performer
"alternative lyrics",,variation,,timbre,librettist
cut,,variation,"musical notation",duration,conductor
cut,,variation,"musical notation",duration,editor
transliteration,Q134550,translation,,timbre,performer
transliteration,Q134550,translation,,timbre,librettist
"add measure",,variation,"musical concept",duration,performer
"add measure",,variation,"musical concept",duration,conductor
"instrument substitution",,instrumentation,"musical concept",timbre,conductor
"instrument substitution",,instrumentation,"musical concept",timbre,performer
"instrument substitution",,instrumentation,"musical technique",timbre,conductor
"instrument substitution",,instrumentation,"musical technique",timbre,performer
tacet,Q1567967,instrumentation,"musical concept",loudness,conductor
tacet,Q1567967,instrumentation,"musical concept",loudness,editor
tacet,Q1567967,instrumentation,"musical concept",duration,conductor
tacet,Q1567967,instrumentation,"musical concept",duration,editor
fortissimo,Q3748790,forte,"musical notation",loudness,composer
fortissimo,Q3748790,forte,"musical notation",loudness,conductor
fortissimo,Q3748790,forte,"musical notation",loudness,editor
pianissimo,Q953127,piano,"musical notation",loudness,composer
pianissimo,Q953127,piano,"musical notation",loudness,conductor
pianissimo,Q953127,piano,"musical notation",loudness,editor
sforzando,Q1993030,dynamic,"musical notation",loudness,composer
sforzando,Q1993030,dynamic,"musical notation",loudness,conductor
sforzando,Q1993030,dynamic,"musical notation",loudness,editor
sforzando,Q1993030,dynamic,"musical notation",timbre,composer
sforzando,Q1993030,dynamic,"musical notation",timbre,conductor
sforzando,Q1993030,dynamic,"musical notation",timbre,editor
sforzando,Q1993030,"musical expression","musical notation",loudness,composer
sforzando,Q1993030,"musical expression","musical notation",loudness,conductor
sforzando,Q1993030,"musical expression","musical notation",loudness,editor
sforzando,Q1993030,"musical expression","musical notation",timbre,composer
sforzando,Q1993030,"musical expression","musical notation",timbre,conductor
sforzando,Q1993030,"musical expression","musical notation",timbre,editor
dynamic,Q113558,,"aspect of sound",loudness,composer
dynamic,Q113558,,"aspect of sound",loudness,conductor
dynamic,Q113558,,"aspect of sound",loudness,editor
crescendo,Q2347888,dynamic,"musical notation",loudness,composer
crescendo,Q2347888,dynamic,"musical notation",loudness,conductor
crescendo,Q2347888,dynamic,"musical notation",loudness,editor
crescendo,Q2347888,dynamic,"musical notation",loudness,performer
crescendo,Q2347888,dynamic,glyph,loudness,composer
crescendo,Q2347888,dynamic,glyph,loudness,conductor
crescendo,Q2347888,dynamic,glyph,loudness,editor
crescendo,Q2347888,dynamic,glyph,loudness,performer
decrescendo,Q1994559,dynamic,"musical notation",loudness,composer
decrescendo,Q1994559,dynamic,"musical notation",loudness,conductor
decrescendo,Q1994559,dynamic,"musical notation",loudness,editor
decrescendo,Q1994559,dynamic,"musical notation",loudness,performer
decrescendo,Q1994559,dynamic,glyph,loudness,composer
decrescendo,Q1994559,dynamic,glyph,loudness,conductor
decrescendo,Q1994559,dynamic,glyph,loudness,editor
decrescendo,Q1994559,dynamic,glyph,loudness,performer
diminuendo,Q1994559,dynamic,"musical notation",loudness,composer
diminuendo,Q1994559,dynamic,"musical notation",loudness,conductor
diminuendo,Q1994559,dynamic,"musical notation",loudness,editor
diminuendo,Q1994559,dynamic,"musical notation",loudness,performer
diminuendo,Q1994559,dynamic,glyph,loudness,composer
diminuendo,Q1994559,dynamic,glyph,loudness,conductor
diminuendo,Q1994559,dynamic,glyph,loudness,editor
diminuendo,Q1994559,dynamic,glyph,loudness,performer
accelerando,Q338639,tempo,"musical notation",duration,composer
accelerando,Q338639,tempo,"musical notation",duration,conductor
accelerando,Q338639,tempo,"musical notation",duration,editor
adagio,Q482153,tempo,"musical notation",duration,composer
adagio,Q482153,tempo,"musical notation",duration,conductor
adagio,Q482153,tempo,"musical notation",duration,editor
allegro,Q2081524,tempo,"musical notation",duration,composer
allegro,Q2081524,tempo,"musical notation",duration,conductor
allegro,Q2081524,tempo,"musical notation",duration,editor
andante,Q2499193,tempo,"musical notation",duration,composer
andante,Q2499193,tempo,"musical notation",duration,conductor
andante,Q2499193,tempo,"musical notation",duration,editor
largo,Q1805930,tempo,"musical notation",duration,composer
largo,Q1805930,tempo,"musical notation",duration,conductor
largo,Q1805930,tempo,"musical notation",duration,editor
"metronome mark",Q124518125,tempo,"musical notation",duration,composer
"metronome mark",Q124518125,tempo,"musical notation",duration,conductor
"metronome mark",Q124518125,tempo,"musical notation",duration,editor
"metronome mark",Q124518125,tempo,"musical notation",duration,performer
"metronome mark",Q124518125,chronometry,"musical notation",duration,composer
"metronome mark",Q124518125,chronometry,"musical notation",duration,conductor
"metronome mark",Q124518125,chronometry,"musical notation",duration,editor
"metronome mark",Q124518125,chronometry,"musical notation",duration,performer
presto,Q2096748,tempo,"musical notation",duration,composer
presto,Q2096748,tempo,"musical notation",duration,conductor
presto,Q2096748,tempo,"musical notation",duration,editor
rallentando,Q577213,tempo,"musical notation",duration,composer
rallentando,Q577213,tempo,"musical notation",duration,conductor
rallentando,Q577213,tempo,"musical notation",duration,editor
rallentando,Q577213,tempo,"musical notation",duration,performer
ritardando,Q1671019,tempo,"musical notation",duration,composer
ritardando,Q1671019,tempo,"musical notation",duration,conductor
ritardando,Q1671019,tempo,"musical notation",duration,editor
ritardando,Q1671019,tempo,"musical notation",duration,performer
ritenuto,Q1646162,tempo,"musical notation",duration,composer
ritenuto,Q1646162,tempo,"musical notation",duration,conductor
ritenuto,Q1646162,tempo,"musical notation",duration,editor
ritenuto,Q1646162,tempo,"musical notation",duration,performer
stringendo,Q2735115,tempo,"musical notation",duration,composer
stringendo,Q2735115,tempo,"musical notation",duration,conductor
stringendo,Q2735115,tempo,"musical notation",duration,editor
"ma non troppo",Q2517964,tempo,"musical notation",,composer
"ma non troppo",Q2517964,tempo,"musical notation",,conductor
"ma non troppo",Q2517964,tempo,"musical notation",,editor
"tactus subdivision",,tempo,"musical concept",duration,conductor
"tempo primo",Q2158106,tempo,"musical notation",duration,composer
"tempo primo",Q2158106,tempo,"musical notation",duration,conductor
tenuto,Q1542153,tempo,"musical notation",duration,performer
tenuto,Q1542153,tempo,"musical notation",duration,composer
tenuto,Q1542153,tempo,"musical notation",duration,conductor
tenuto,Q1542153,tempo,"musical notation",loudness,performer
tenuto,Q1542153,tempo,"musical notation",loudness,composer
tenuto,Q1542153,tempo,"musical notation",loudness,conductor
tenuto,Q1542153,tempo,"musical technique",duration,performer
tenuto,Q1542153,tempo,"musical technique",duration,composer
tenuto,Q1542153,tempo,"musical technique",duration,conductor
tenuto,Q1542153,tempo,"musical technique",loudness,performer
tenuto,Q1542153,tempo,"musical technique",loudness,composer
tenuto,Q1542153,tempo,"musical technique",loudness,conductor
tenuto,Q1542153,ornament,"musical notation",duration,performer
tenuto,Q1542153,ornament,"musical notation",duration,composer
tenuto,Q1542153,ornament,"musical notation",duration,conductor
tenuto,Q1542153,ornament,"musical notation",loudness,performer
tenuto,Q1542153,ornament,"musical notation",loudness,composer
tenuto,Q1542153,ornament,"musical notation",loudness,conductor
tenuto,Q1542153,ornament,"musical technique",duration,performer
tenuto,Q1542153,ornament,"musical technique",duration,composer
tenuto,Q1542153,ornament,"musical technique",duration,conductor
tenuto,Q1542153,ornament,"musical technique",loudness,performer
tenuto,Q1542153,ornament,"musical technique",loudness,composer
tenuto,Q1542153,ornament,"musical technique",loudness,conductor
arco,,"musical instrument part","musical notation",timbre,performer
arco,,"musical instrument part","musical notation",timbre,conductor
arco,,"musical instrument part","musical notation",loudness,performer
arco,,"musical instrument part","musical notation",loudness,conductor
arco,,"musical instrument part","musical technique",timbre,performer
arco,,"musical instrument part","musical technique",timbre,conductor
arco,,"musical instrument part","musical technique",loudness,performer
arco,,"musical instrument part","musical technique",loudness,conductor
arco,,articulation,"musical notation",timbre,performer
arco,,articulation,"musical notation",timbre,conductor
arco,,articulation,"musical notation",loudness,performer
arco,,articulation,"musical notation",loudness,conductor
arco,,articulation,"musical technique",timbre,performer
arco,,articulation,"musical technique",timbre,conductor
arco,,articulation,"musical technique",loudness,performer
arco,,articulation,"musical technique",loudness,conductor
pizzicato,Q213460,articulation,"musical notation",timbre,performer
pizzicato,Q213460,articulation,"musical notation",timbre,conductor
pizzicato,Q213460,articulation,"musical notation",loudness,performer
pizzicato,Q213460,articulation,"musical notation",loudness,conductor
pizzicato,Q213460,articulation,"musical technique",timbre,performer
pizzicato,Q213460,articulation,"musical technique",timbre,conductor
pizzicato,Q213460,articulation,"musical technique",loudness,performer
pizzicato,Q213460,articulation,"musical technique",loudness,conductor
"string harmonic",Q576006,,"musical notation",timbre,performer
"string harmonic",Q576006,,"musical notation",timbre,composer
"string harmonic",Q576006,,"musical technique",timbre,performer
"string harmonic",Q576006,,"musical technique",timbre,composer
bowing,Q9338812,"musical instrument part","musical notation",timbre,performer
bowing,Q9338812,"musical instrument part","musical notation",timbre,conductor
bowing,Q9338812,"musical instrument part","musical technique",timbre,performer
bowing,Q9338812,"musical instrument part","musical technique",timbre,conductor
"engage pedal",Q124518660,"musical instrument part","musical notation",timbre,performer
"engage pedal",Q124518660,"musical instrument part","musical notation",timbre,editor
"engage pedal",Q124518660,"musical instrument part","musical notation",timbre,composer
"engage pedal",Q124518660,"musical instrument part","musical notation",loudness,performer
"engage pedal",Q124518660,"musical instrument part","musical notation",loudness,editor
"engage pedal",Q124518660,"musical instrument part","musical notation",loudness,composer
"una corda",,"musical instrument part","musical notation",timbre,performer
"una corda",,"musical instrument part","musical notation",timbre,composer
"una corda",,"musical instrument part","musical notation",timbre,editor
"una corda",,"musical instrument part","musical notation",loudness,performer
"una corda",,"musical instrument part","musical notation",loudness,composer
"una corda",,"musical instrument part","musical notation",loudness,editor
"tre le corde",,"musical instrument part","musical notation",timbre,composer
"tre le corde",,"musical instrument part","musical notation",timbre,editor
"tre le corde",,"musical instrument part","musical notation",timbre,performer
"tre le corde",,"musical instrument part","musical notation",loudness,composer
"tre le corde",,"musical instrument part","musical notation",loudness,editor
"tre le corde",,"musical instrument part","musical notation",loudness,performer
"release pedal",Q124518670,"musical instrument part","musical notation",loudness,performer
"release pedal",Q124518670,"musical instrument part","musical notation",loudness,editor
"release pedal",Q124518670,"musical instrument part","musical notation",loudness,composer
"release pedal",Q124518670,"musical instrument part","musical notation",timbre,performer
"release pedal",Q124518670,"musical instrument part","musical notation",timbre,editor
"release pedal",Q124518670,"musical instrument part","musical notation",timbre,composer
portato,Q1930998,articulation,"musical notation",duration,conductor
portato,Q1930998,articulation,"musical notation",duration,composer
portato,Q1930998,articulation,"musical notation",duration,performer
portato,Q1930998,articulation,"musical notation",timbre,conductor
portato,Q1930998,articulation,"musical notation",timbre,composer
portato,Q1930998,articulation,"musical notation",timbre,performer
portato,Q1930998,articulation,"musical technique",duration,conductor
portato,Q1930998,articulation,"musical technique",duration,composer
portato,Q1930998,articulation,"musical technique",duration,performer
portato,Q1930998,articulation,"musical technique",timbre,conductor
portato,Q1930998,articulation,"musical technique",timbre,composer
portato,Q1930998,articulation,"musical technique",timbre,performer
portato,Q1930998,"musical phrasing","musical notation",duration,conductor
portato,Q1930998,"musical phrasing","musical notation",duration,composer
portato,Q1930998,"musical phrasing","musical notation",duration,performer
portato,Q1930998,"musical phrasing","musical notation",timbre,conductor
portato,Q1930998,"musical phrasing","musical notation",timbre,composer
portato,Q1930998,"musical phrasing","musical notation",timbre,performer
portato,Q1930998,"musical phrasing","musical technique",duration,conductor
portato,Q1930998,"musical phrasing","musical technique",duration,composer
portato,Q1930998,"musical phrasing","musical technique",duration,performer
portato,Q1930998,"musical phrasing","musical technique",timbre,conductor
portato,Q1930998,"musical phrasing","musical technique",timbre,composer
portato,Q1930998,"musical phrasing","musical technique",timbre,performer
portato,Q1930998,"musical expression","musical notation",duration,conductor
portato,Q1930998,"musical expression","musical notation",duration,composer
portato,Q1930998,"musical expression","musical notation",duration,performer
portato,Q1930998,"musical expression","musical notation",timbre,conductor
portato,Q1930998,"musical expression","musical notation",timbre,composer
portato,Q1930998,"musical expression","musical notation",timbre,performer
portato,Q1930998,"musical expression","musical technique",duration,conductor
portato,Q1930998,"musical expression","musical technique",duration,composer
portato,Q1930998,"musical expression","musical technique",duration,performer
portato,Q1930998,"musical expression","musical technique",timbre,conductor
portato,Q1930998,"musical expression","musical technique",timbre,composer
portato,Q1930998,"musical expression","musical technique",timbre,performer
signature,Q188675,,,,composer
signature,Q188675,,,,conductor
signature,Q188675,,,,performer
slur,Q863575,articulation,"musical notation",duration,conductor
slur,Q863575,articulation,"musical notation",duration,performer
slur,Q863575,articulation,"musical notation",duration,editor
slur,Q863575,articulation,"musical notation",timbre,conductor
slur,Q863575,articulation,"musical notation",timbre,performer
slur,Q863575,articulation,"musical notation",timbre,editor
citation,Q1713,,,,editor
citation,Q1713,,,,"scholar (owner)"
"ink stamp",Q57305415,,impression,,"scholar (owner)"
"ad libitum",Q310735,ornament,"musical notation",pitch,performer
"ad libitum",Q310735,ornament,"musical notation",pitch,composer
"ad libitum",Q310735,ornament,"musical notation",duration,performer
"ad libitum",Q310735,ornament,"musical notation",duration,composer
"ad libitum",Q310735,ornament,"musical concept",pitch,performer
"ad libitum",Q310735,ornament,"musical concept",pitch,composer
"ad libitum",Q310735,ornament,"musical concept",duration,performer
"ad libitum",Q310735,ornament,"musical concept",duration,composer
"ad libitum",Q310735,ornament,"musical improvisation",pitch,performer
"ad libitum",Q310735,ornament,"musical improvisation",pitch,composer
"ad libitum",Q310735,ornament,"musical improvisation",duration,performer
"ad libitum",Q310735,ornament,"musical improvisation",duration,composer
"musica ficta",Q1852714,accidental,"musical notation",pitch,editor
"musica ficta",Q1852714,accidental,"musical notation",pitch,"scholar (owner)"
"musica ficta",Q1852714,accidental,"musical concept",pitch,editor
"musica ficta",Q1852714,accidental,"musical concept",pitch,"scholar (owner)"
"natural sign",Q747691,accidental,"musical notation",pitch,composer
"natural sign",Q747691,accidental,"musical notation",pitch,performer
"natural sign",Q747691,accidental,"musical notation",pitch,editor
clef,Q181040,,"musical notation",pitch,editor
clef,Q181040,,"musical notation",pitch,performer
piano,Q2707020,dynamic,"musical notation",loudness,composer
piano,Q2707020,dynamic,"musical notation",loudness,conductor
piano,Q2707020,dynamic,"musical notation",loudness,editor
mezzopiano,Q2147562,dynamic,"musical notation",loudness,composer
mezzopiano,Q2147562,dynamic,"musical notation",loudness,conductor
mezzopiano,Q2147562,dynamic,"musical notation",loudness,editor
mezzopiano,Q2147562,piano,"musical notation",loudness,composer
mezzopiano,Q2147562,piano,"musical notation",loudness,conductor
mezzopiano,Q2147562,piano,"musical notation",loudness,editor
mezzoforte,Q7258512,dynamic,"musical notation",loudness,composer
mezzoforte,Q7258512,dynamic,"musical notation",loudness,conductor
mezzoforte,Q7258512,dynamic,"musical notation",loudness,editor
mezzoforte,Q7258512,forte,"musical notation",loudness,composer
mezzoforte,Q7258512,forte,"musical notation",loudness,conductor
mezzoforte,Q7258512,forte,"musical notation",loudness,editor
fortepiano,Q2192323,dynamic,"musical notation",loudness,composer
fortepiano,Q2192323,dynamic,"musical notation",loudness,conductor
fortepiano,Q2192323,dynamic,"musical notation",loudness,editor
fortepiano,Q2192323,forte,"musical notation",loudness,composer
fortepiano,Q2192323,forte,"musical notation",loudness,conductor
fortepiano,Q2192323,forte,"musical notation",loudness,editor
fortepiano,Q2192323,piano,"musical notation",loudness,composer
fortepiano,Q2192323,piano,"musical notation",loudness,conductor
fortepiano,Q2192323,piano,"musical notation",loudness,editor
forte,Q1191094,dynamic,"musical notation",loudness,composer
forte,Q1191094,dynamic,"musical notation",loudness,conductor
forte,Q1191094,dynamic,"musical notation",loudness,editor
tempo,Q189214,,"musical concept",duration,composer
tempo,Q189214,,"musical concept",duration,conductor
tempo,Q189214,,"musical concept",duration,editor
tempo,Q189214,,"sound concept",duration,composer
tempo,Q189214,,"sound concept",duration,conductor
tempo,Q189214,,"sound concept",duration,editor
loudness,Q622324,,"sound concept",loudness,composer
loudness,Q622324,,"sound concept",loudness,conductor
loudness,Q622324,,"sound concept",loudness,editor
loudness,Q622324,,"sound concept",loudness,performer
loudness,Q622324,,"musical concept",loudness,composer
loudness,Q622324,,"musical concept",loudness,conductor
loudness,Q622324,,"musical concept",loudness,editor
